日期,变量,基准,权重
2025-10-23,光伏,前7天,0.19507919196199563
2025-10-23,光伏,近7天中位数,0.2658872729424981
2025-10-23,光伏,同星期中位数,0.12924847614807067
2025-10-24,光伏,附件1先验,0.14871279769070145
2025-10-24,光伏,前1天,0.2602768815699252
2025-10-24,光伏,前7天,0.19682164343200995
2025-10-24,光伏,近7天中位数,0.26582851474900066
2025-10-24,光伏,同星期中位数,0.12836016255836277
2025-10-25,光伏,附件1先验,0.1453403038801147
2025-10-25,光伏,前1天,0.2622821446065345
2025-10-25,光伏,前7天,0.19516520272289875
2025-10-25,光伏,近7天中位数,0.26767910457918187
2025-10-25,光伏,同星期中位数,0.12953324421127024
2025-10-26,光伏,附件1先验,0.1426670191470986
2025-10-26,光伏,前1天,0.26619643557127065
2025-10-26,光伏,前7天,0.1942711328930403
2025-10-26,光伏,近7天中位数,0.2680437117059952
2025-10-26,光伏,同星期中位数,0.12882170068259527
2025-10-27,光伏,附件1先验,0.13937532604566402
2025-10-27,光伏,前1天,0.268192369207741
2025-10-27,光伏,前7天,0.19525874426233295
2025-10-27,光伏,近7天中位数,0.268834193167295
2025-10-27,光伏,同星期中位数,0.128339367316967
2025-10-28,光伏,附件1先验,0.13926646745873697
2025-10-28,光伏,前1天,0.26689570470129553
2025-10-28,光伏,前7天,0.1955514488971084
2025-10-28,光伏,近7天中位数,0.2670949383768412
2025-10-28,光伏,同星期中位数,0.13119144056601795
2025-10-29,光伏,附件1先验,0.1368050205907296
2025-10-29,光伏,前1天,0.2647803893855184
2025-10-29,光伏,前7天,0.19516795313556204
2025-10-29,光伏,近7天中位数,0.27055938305575455
2025-10-29,光伏,同星期中位数,0.13268725383243543
2025-10-30,光伏,附件1先验,0.13501584673901487
2025-10-30,光伏,前1天,0.2746176453056822
2025-10-30,光伏,前7天,0.19290098973848852
2025-10-30,光伏,近7天中位数,0.27237431302568577
2025-10-30,光伏,同星期中位数,0.12509120519112857
2025-10-31,光伏,附件1先验,0.1354996548406389
2025-10-31,光伏,前1天,0.2704388116146976
2025-10-31,光伏,前7天,0.19216899765287074
2025-10-31,光伏,近7天中位数,0.28257752794910784
2025-10-31,光伏,同星期中位数,0.11931500794268482
2025-11-01,光伏,附件1先验,0.1372756277065745
2025-11-01,光伏,前1天,0.26594544439161455
2025-11-01,光伏,前7天,0.19489333781914867
2025-11-01,光伏,近7天中位数,0.2856482037597755
2025-11-01,光伏,同星期中位数,0.11623738632288687
2025-11-02,光伏,附件1先验,0.13590781469964
2025-11-02,光伏,前1天,0.27044543407452387
2025-11-02,光伏,前7天,0.19528450684333226
2025-11-02,光伏,近7天中位数,0.2835852997302485
2025-11-02,光伏,同星期中位数,0.11477694465225538
2025-11-03,光伏,附件1先验,0.1361433557942352
2025-11-03,光伏,前1天,0.27248416287790966
2025-11-03,光伏,前7天,0.19687183859130242
2025-11-03,光伏,近7天中位数,0.2835881931031617
2025-11-03,光伏,同星期中位数,0.11091244963339103
2025-11-04,光伏,附件1先验,0.13739091663068045
2025-11-04,光伏,前1天,0.2751159411331037
2025-11-04,光伏,前7天,0.1939079438244451
2025-11-04,光伏,近7天中位数,0.28472633541580916
2025-11-04,光伏,同星期中位数,0.1088588629959615
2025-11-05,光伏,附件1先验,0.1366860463927611
2025-11-05,光伏,前1天,0.2745527378238676
2025-11-05,光伏,前7天,0.1950674226668422
2025-11-05,光伏,近7天中位数,0.286166207781124
2025-11-05,光伏,同星期中位数,0.10752758533540514
2025-11-06,光伏,附件1先验,0.13506466323838737
2025-11-06,光伏,前1天,0.2724047236888738
2025-11-06,光伏,前7天,0.20149942628110648
2025-11-06,光伏,近7天中位数,0.2872845517302011
2025-11-06,光伏,同星期中位数,0.10374663506143121
2025-11-07,光伏,附件1先验,0.1362391998751333
2025-11-07,光伏,前1天,0.2746402334197358
2025-11-07,光伏,前7天,0.2000781116148575
2025-11-07,光伏,近7天中位数,0.2874453474359414
2025-11-07,光伏,同星期中位数,0.1015971076543319
2025-11-08,光伏,附件1先验,0.1385076909683291
2025-11-08,光伏,前1天,0.2757500792974174
2025-11-08,光伏,前7天,0.1982810914992677
2025-11-08,光伏,近7天中位数,0.2865444323760435
2025-11-08,光伏,同星期中位数,0.10091670585894237
2025-11-09,光伏,附件1先验,0.1356678670055217
2025-11-09,光伏,前1天,0.27895649876965756
2025-11-09,光伏,前7天,0.19599106448996417
2025-11-09,光伏,近7天中位数,0.29041075094040136
2025-11-09,光伏,同星期中位数,0.09897381879445528
2025-11-10,光伏,附件1先验,0.13411424826163826
2025-11-10,光伏,前1天,0.2803150144524765
2025-11-10,光伏,前7天,0.19761283797355184
2025-11-10,光伏,近7天中位数,0.2910459876051454
2025-11-10,光伏,同星期中位数,0.09691191170718809
2025-11-11,光伏,附件1先验,0.13363921317696845
2025-11-11,光伏,前1天,0.2845697576511194
2025-11-11,光伏,前7天,0.19772651095570132
2025-11-11,光伏,近7天中位数,0.2893245154778672
2025-11-11,光伏,同星期中位数,0.09474000273834365
2025-11-12,光伏,附件1先验,0.13124072581108548
2025-11-12,光伏,前1天,0.2886286111854628
2025-11-12,光伏,前7天,0.195382473115513
2025-11-12,光伏,近7天中位数,0.29131756550543925
2025-11-12,光伏,同星期中位数,0.09343062438249952
2025-11-13,光伏,附件1先验,0.1264157803156501
2025-11-13,光伏,前1天,0.2896368674253685
2025-11-13,光伏,前7天,0.19750489170435695
2025-11-13,光伏,近7天中位数,0.2950813655547243
2025-11-13,光伏,同星期中位数,0.09136109499990018
2025-11-14,光伏,附件1先验,0.12329708001398443
2025-11-14,光伏,前1天,0.2879521846441892
2025-11-14,光伏,前7天,0.20075063429866058
2025-11-14,光伏,近7天中位数,0.29788890323087086
2025-11-14,光伏,同星期中位数,0.09011119781229493
2025-11-15,光伏,附件1先验,0.11931282717703258
2025-11-15,光伏,前1天,0.2913074021644348
2025-11-15,光伏,前7天,0.20274117230656363
2025-11-15,光伏,近7天中位数,0.2980626202496791
2025-11-15,光伏,同星期中位数,0.08857597810228987
2025-11-16,光伏,附件1先验,0.11643302348438361
2025-11-16,光伏,前1天,0.29024533769529137
2025-11-16,光伏,前7天,0.20359356883432064
2025-11-16,光伏,近7天中位数,0.3020569047892624
2025-11-16,光伏,同星期中位数,0.08767116519674199
2025-11-17,光伏,附件1先验,0.11279022532101778
